,dcID,RID
967,34013021801d1,606141
968,34013017400d0,34785
969,34013017400d1,169073
970,34013017400d2,329429
971,34013018000d0,1279114
972,34013017700d0,327739
973,34013017900d0,608348
974,34013017302d0,35814
975,34013017600d0,328471
976,34013017302d1,605056
977,34013017700d1,751451
978,34013017301d0,322567
979,34013017400d3,608640
980,34013018000d1,322649
981,34013017302d2,864699
982,34013017301d1,604004
983,34013017800d0,604620
984,34013017700d2,168902
985,34013018200d1,603029
986,34017011500d0,1228609
987,34017010900d0,791890
988,34017011100d0,1227918
989,34017011300d0,609078
990,34017010500d0,1095946
991,34017011100d1,752311
992,34017011300d1,609373
993,34017010700d0,331814
994,34017010700d1,331815
995,34017010600d0,609713
996,34017010700d2,609020
997,34017011000d0,752310
998,34017011300d2,609046
999,34017010600d1,752157
1000,34017010800d0,610256
1001,34017011200d0,610460
1002,34017011000d1,752310
1003,34017011300d3,609046
1004,34017010500d1,751787
1005,34017013400d0,219509
1006,34017015002d0,752066
1007,34017015002d1,751604
1008,34017015100d0,751610
1009,34017015002d2,792028
1010,34017015100d1,751608
1011,34017015002d3,792027
1012,34017015001d0,1096126
1013,34017015100d2,751608
1014,34017013800d0,609970
1015,34017013900d0,330641
1016,34017013500d0,608941
1017,34017013600d0,752085
1018,34017013600d1,1228314
1019,34017018702d0,752300
1020,34017018400d0,752353
1021,34017018702d1,1096623
1022,34017018301d0,752567
1023,34017018600d0,1279503
1024,34017019100d0,792004
1025,34017019200d0,752088
1026,34017018600d1,791962
1027,34017018400d1,751532
1028,34017018800d0,610269
1029,34017019100d1,608889
1030,34017018600d2,791962
1031,34017018800d1,331064
1032,34017018800d2,792065
1033,34017019100d2,791930
1034,34017018900d0,791953
1035,34017019300d0,609274
1036,34017018702d2,752301
1037,34017018400d2,1293202
1038,34017018800d3,1291409
1039,34017019000d0,791923
1040,34017018600d3,791962
1041,34017018800d4,792065
1042,34017018701d0,752560
1043,34017019200d1,752093
1044,34017019000d1,36520
1045,34017003100d0,1228129
1046,34017002700d0,1279662
1047,34017001100d0,920850
1048,34017007000d0,1227549
1049,34017007000d1,1227909
1050,34017004200d0,608815
1051,34017004102d0,1227425
1052,34017006300d0,609126
1053,34017005802d0,609041
1054,34017007300d0,791984
1055,34017006000d0,610510
1056,34017000400d0,36930
1057,34017007600d0,751535
1058,34017007600d1,608727
1059,34017002000d0,1227361
1060,34017000300d0,1227850
1061,34017000300d1,1227850
1062,34017007300d1,791984
1063,34017000400d1,36930
1064,34017006400d0,751907
1065,34017005802d1,36748
1066,34017003000d0,1096768
1067,34017004102d1,1096151
1068,34017001701d0,331114
1069,34017001100d1,609150
1070,34017006700d0,1097589
1071,34017001701d1,610320
1072,34017006500d0,330620
1073,34017007500d0,751750
1074,34017004400d0,1279301
1075,34017006500d1,329685
1076,34017005500d0,610552
1077,34017007800d0,1096836
1078,34017000100d0,609231
1079,34017005802d2,36748
1080,34017006500d2,1229094
1081,34017007200d0,609255
1082,34017005801d0,610073
1083,34017002300d0,1227541
1084,34017004000d0,1095543
1085,34017000800d0,752280
1086,34017006800d0,609546
1087,34017004800d0,608988
1088,34017007000d2,330787
1089,34017002400d0,920020
1090,34017000800d1,752279
1091,34017000800d2,752279
1092,34017000800d3,752279
1093,34017001202d0,1097235
1094,34017000600d0,1228255
1095,34017005500d1,1279416
1096,34017007800d1,331651
1097,34017004300d0,920830
1098,34017006700d1,609564
1099,34017002200d0,610175
1100,34017005801d1,610552
1101,34017005801d2,610552
1102,34017005801d3,610552
1103,34017007700d0,1095228
1104,34017006000d1,1097483
1105,34017006700d2,920337
1106,34017004102d2,920657
1107,34017006500d3,1228501
1108,34017006800d1,1095725
1109,34017006300d1,331048
1110,34017006800d2,330854
1111,34017000300d2,1228302
1112,34017006000d2,751552
1113,34017006000d3,329869
1114,34017017000d0,1279278
1115,34017006200d0,1279400
1116,34017000600d1,1096577
1117,34017004600d0,1279674
1118,34017000300d3,1095426
1119,34017001000d0,751618
1120,34017000800d4,36790
1121,34017007000d3,1279359
1122,34017006700d3,610565
1123,34017004600d1,792138
1124,34017006200d1,610071
1125,34017000100d1,609252
1126,34017003000d1,1095723
1127,34017001900d0,1208454
1128,34017004300d1,331690
1129,34017000400d2,331178
1130,34017005500d2,610552
1131,34017002900d0,1095750
1132,34017002200d1,610176
1133,34017002300d1,1228791
1134,34017000200d0,1229066
1135,34017001100d2,920195
1136,34017004800d1,1095541
1137,34017004800d2,1095541
1138,34017003000d2,329955
1139,34017001701d2,331638
1140,34017005400d0,36687
